"X1","Report ID","Report Type","Arrest Date","Time","Area ID","Area Name","Reporting District","Age","Sex Code","Descent Code","Charge Group Code","Charge Group Description","Arrest Type Code","Charge","Charge Description","Disposition Description","Address","Cross Street","LAT","LON","Location","Booking Date","Booking Time","Booking Location","Booking Location Code","week","date","month"
2,5938160,"BOOKING","05/23/2020 12:00:00 AM","1120","06","Hollywood","0639",49,"M","B","08","Other Assaults","F","422(A)PC","TERRORIZE CAUSING FEAR","FELONY COMPLAINT FILED","5400    HOLLYWOOD                    BL",NA,34.1036,-118.3049,"POINT (-118.3049 34.1036)","05/23/2020 12:00:00 AM","1338","HOLLYWOOD",4206,21,2020-05-23,5
3,5947277,"BOOKING","06/02/2020 12:00:00 AM","1915","12","77th Street","1249",27,"M","B","04","Aggravated Assault","F","245(A)(1)PC","ADW, NOT FIREARM, W/GBI","FELONY COMPLAINT FILED","6500    DENVER                       AV",NA,33.9806,-118.2838,"POINT (-118.2838 33.9806)","06/02/2020 12:00:00 AM","2108","77TH ST",4212,23,2020-06-02,6
4,5939364,"BOOKING","05/25/2020 12:00:00 AM","1400","06","Hollywood","0615",58,"F","W","04","Aggravated Assault","F","245(A)(1)PC","ADW, NOT FIREARM, W/GBI","OTHER (REQUIRES ADDITION ACTION)","3000    DURAND                       DR",NA,34.1227,-118.3239,"POINT (-118.3239 34.1227)","05/25/2020 12:00:00 AM","1443","HOLLYWOOD",4206,22,2020-05-25,5
5,5947850,"BOOKING","06/03/2020 12:00:00 AM","1330","07","Wilshire","0702",32,"M","W","04","Aggravated Assault","F","245(A)(1)PC","ADW, NOT FIREARM, W/GBI","DISTRICT ATTORNEY REJECT","600 N  CURSON                       AV",NA,34.0818,-118.3553,"POINT (-118.3553 34.0818)","06/03/2020 12:00:00 AM","1657","METRO - JAIL DIVISION",4273,23,2020-06-03,6
7,5948401,"BOOKING","06/03/2020 12:00:00 AM","2100","06","Hollywood","0636",30,"M","B","23","Moving Traffic Violations","F","20001(A)VC","HIT AND RUN CAUSING INJURY/DEATH","FELONY COMPLAINT FILED","CAHUENGA                     BL","SANTA MONICA                 BL",34.1034,-118.3325,"POINT (-118.3325 34.1034)","06/04/2020 12:00:00 AM","0212","HOLLYWOOD",4206,23,2020-06-03,6
8,5940764,"BOOKING","05/27/2020 12:00:00 AM","1230","12","77th Street","1269",28,"F","H","07","Vehicle Theft","F","10851(A)VC","TAKE VEHICLE W/O OWNER'S CONSENT","FELONY COMPLAINT FILED","84TH                         ST","WADSWORTH",33.9629,-118.2586,"POINT (-118.2586 33.9629)","05/27/2020 12:00:00 AM","1530","77TH ST",4212,22,2020-05-27,5
9,5945899,"BOOKING","06/01/2020 12:00:00 AM","0300","06","Hollywood","0669",28,"M","H","05","Burglary","F","463(A)PC","2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC","FELONY COMPLAINT FILED","SANTA MONICA","101 FWY",34.0929,-118.3048,"POINT (-118.3048 34.0929)","06/01/2020 12:00:00 AM","0632","HOLLYWOOD",4206,23,2020-06-01,6
10,5945250,"BOOKING","05/31/2020 12:00:00 AM","0020","07","Wilshire","0702",20,"M","H","05","Burglary","F","463(A)PC","2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC","849(B)(1) PC/TECHNICAL ARREST","MELROSE","FULLER",34.0836,-118.3498,"POINT (-118.3498 34.0836)","05/31/2020 12:00:00 AM","0735","VALLEY - JAIL DIV",4279,22,2020-05-31,5
11,5938186,"BOOKING","05/23/2020 12:00:00 AM","1230","14","Pacific","1494",37,"M","H","16","Narcotic Drug Laws","F","11360(A)HS","TRANSPORT/SELL/FURNISH/ETC MARIJUANA","849(B)(1) PC/TECHNICAL ARREST","500    WORLDWAY",NA,33.942,-118.4095,"POINT (-118.4095 33.942)","05/23/2020 12:00:00 AM","1508","PACIFIC",4214,21,2020-05-23,5
14,5943415,"BOOKING","05/29/2020 12:00:00 AM","1230","10","West Valley","1061",39,"M","W","16","Narcotic Drug Laws","F","11358HS","UNLAWFULLY PLANT/CULTIVATE/ETC MARIJUANA","849(B)(1) PC/TECHNICAL ARREST","5300    VANALDEN                     AV",NA,34.1687,-118.5579,"POINT (-118.5579 34.1687)","05/29/2020 12:00:00 AM","1327","VALLEY - JAIL DIV",4279,22,2020-05-29,5
15,5939116,"BOOKING","05/25/2020 12:00:00 AM","0005","03","Southwest","0333",21,"M","B","07","Vehicle Theft","F","10851(A)VC","TAKE VEHICLE W/O OWNER'S CONSENT","DISTRICT ATTORNEY REJECT","JEFFERSON","CRENSHAW                     BL",34.0256,-118.3351,"POINT (-118.3351 34.0256)","05/25/2020 12:00:00 AM","0139","77TH ST",4212,22,2020-05-25,5
16,5942493,"BOOKING","05/28/2020 12:00:00 AM","2130","06","Hollywood","0643",28,"M","W","24","Miscellaneous Other Violations","F","594(A)(2)PC","DAMAGE PROPERTY","849(B)(1) PC/TECHNICAL ARREST","1500 N  DETROIT",NA,34.098,-118.3456,"POINT (-118.3456 34.098)","05/28/2020 12:00:00 AM","2252","HOLLYWOOD",4206,22,2020-05-28,5
18,5940740,"BOOKING","05/27/2020 12:00:00 AM","1200","09","Van Nuys","0963",30,"M","H","16","Narcotic Drug Laws","F","11379(A)HS","TRANSPORT/SELL CONTROLLED SUBSTANCE","849(B)(1) PC/TECHNICAL ARREST","KESTER","MAGNOLIA",34.1649,-118.4574,"POINT (-118.4574 34.1649)","05/27/2020 12:00:00 AM","1448","VALLEY - JAIL DIV",4279,22,2020-05-27,5
22,5938113,"BOOKING","05/23/2020 12:00:00 AM","0740","14","Pacific","1494",24,"M","B","16","Narcotic Drug Laws","F","11360(A)HS","TRANSPORT/SELL/FURNISH/ETC MARIJUANA","849(B)(1) PC/TECHNICAL ARREST","400    WORLDWAY",NA,33.942,-118.4095,"POINT (-118.4095 33.942)","05/23/2020 12:00:00 AM","1106","PACIFIC",4214,21,2020-05-23,5
23,5946893,"BOOKING","06/01/2020 12:00:00 AM","2345","12","77th Street","1273",17,"M","B","24","Miscellaneous Other Violations","F","594(A)(1)PC","DEFACE PROPERTY",NA,"87TH","WESTERN",33.9591,-118.309,"POINT (-118.309 33.9591)","06/02/2020 12:00:00 AM","0426","77TH ST",4212,23,2020-06-01,6
25,5940485,"BOOKING","05/27/2020 12:00:00 AM","0145","12","77th Street","1255",11,"M","H","26","Non-Criminal Detention","D","300(D)WI","FAIL PROTECT CHILD FROM SEXUAL ABUSE","DEPARTMENT OF SOCIAL SERVICES","1300 W  FLORENCE                     AV",NA,33.9746,-118.2984,"POINT (-118.2984 33.9746)","05/27/2020 12:00:00 AM","0505","77TH ST",4212,22,2020-05-27,5
27,5944377,"BOOKING","05/30/2020 12:00:00 AM","0004","14","Pacific","1494",27,"M","H","16","Narcotic Drug Laws","F","11360(A)HS","TRANSPORT/SELL/FURNISH/ETC MARIJUANA","849(B)(1) PC/TECHNICAL ARREST","400    WORLD                        WY",NA,33.9433,-118.4072,"POINT (-118.4072 33.9433)","05/30/2020 12:00:00 AM","0216","PACIFIC",4214,22,2020-05-30,5
29,202109985,"RFC","05/31/2020 12:00:00 AM","1600","21","Topanga","2156",17,"F","B",NA,NA,"M","463PC",NA,NA,"21600    VICTORY                      BL",NA,34.188,-118.6002,"POINT (-118.6002 34.188)",NA,NA,NA,NA,22,2020-05-31,5
30,5768779,"BOOKING","05/31/2020 12:00:00 AM","0140","01","Central","0171",20,"M","B","12","Weapon (carry/poss)","F","25400(A)2PC","CARRYING CONCEALED WEAPON UPON PERSON","FELONY COMPLAINT FILED","GEORGIA","OLYMPIC",34.0459,-118.2669,"POINT (-118.2669 34.0459)","05/31/2020 12:00:00 AM","0438","METRO - JAIL DIVISION",4273,22,2020-05-31,5
32,5938088,"BOOKING","05/23/2020 12:00:00 AM","0735","14","Pacific","1494",29,"F","B","16","Narcotic Drug Laws","F","11352(A)HS","TRANSPORT/SELL/ETC CONTROLLED SUBSTANCE","849(B)(1) PC/TECHNICAL ARREST","100    WORLDWAY",NA,33.942,-118.4095,"POINT (-118.4095 33.942)","05/23/2020 12:00:00 AM","1008","PACIFIC",4214,21,2020-05-23,5
